Time,Is_Day,Average_Wind_Speed_kmh,Average_Barometric_Pressure_hPa,Temperature_K,Density_kgm3,Solar_Radiation_Wm2,Wind_Power_Generated_W,Solar_Power_Generated_W
2025-03-10T19:00,0,12.2,1005.1,298.25,1.1740085761262242,16.0,71773.33660069684,0.0
2025-03-10T20:00,0,8.6,1006.1,296.54999999999995,1.1819134351492846,0.0,25310.07300711238,0.0
2025-03-10T21:00,0,4.7,1006.7,295.15,1.1882278570619842,0.0,4153.418360343332,0.0
2025-03-10T22:00,0,4.3,1006.9,294.25,1.192098984824535,0.0,3191.023919383166,0.0
2025-03-10T23:00,0,4.8,1007.1,293.34999999999997,1.1959938658851004,0.0,4453.126569248103,0.0
2025-03-11T00:00,0,8.8,1007.5,292.45,1.2001509629097067,0.0,27535.70936436301,0.0
2025-03-11T01:00,0,11.7,1008.1,290.84999999999997,1.2074717961879597,0.0,65109.88906197785,0.0
2025-03-11T02:00,0,10.5,1008.0,290.25,1.209847837329477,0.0,47153.18408769222,0.0
2025-03-11T03:00,0,7.4,1007.7,289.84999999999997,1.211156885891732,0.0,16523.72416509118,0.0
2025-03-11T04:00,0,5.2,1007.6,289.34999999999997,1.2131293804711634,0.0,5742.877156340256,0.0
2025-03-11T05:00,0,4.7,1007.9,288.65,1.2164333887008256,0.0,4252.01003388116,0.0
2025-03-11T06:00,0,4.8,1008.5,287.84999999999997,1.2205402830182999,0.0,4544.521939603789,0.0
2025-03-11T07:00,1,4.6,1009.1,287.75,1.221690854162092,8.0,4003.567844289379,1.6
2025-03-11T08:00,1,4.0,1009.8,288.65,1.218726496587056,127.0,2626.0234625604407,25.400000000000002
2025-03-11T09:00,1,4.0,1010.5,290.15,1.2132664593988125,312.0,2614.258570434986,62.400000000000006
2025-03-11T10:00,1,3.6,1010.9,291.84999999999997,1.2066767577183999,479.0,1895.4434186528379,95.80000000000001
2025-03-11T11:00,1,3.2,1010.7,293.84999999999997,1.198226773753072,633.0,1321.9082990642748,126.60000000000001
2025-03-11T12:00,1,3.1,1010.1,296.04999999999995,1.1886164994055595,759.0,1192.1728048031107,151.8
2025-03-11T13:00,1,3.4,1009.4,297.75,1.1810110988893505,826.0,1562.7989288822964,165.20000000000002
2025-03-11T14:00,1,4.6,1008.6,298.65,1.176518860214984,817.0,3855.5360064369847,163.4
2025-03-11T15:00,1,5.6,1007.6,299.15,1.1733878864761196,737.0,6937.740576350447,147.4
2025-03-11T16:00,1,6.1,1007.0,299.15,1.172689164034788,591.0,8961.584247533776,118.2
2025-03-11T17:00,1,5.3,1006.8,298.65,1.1744191834864626,391.0,5886.580942866909,78.2
2025-03-11T18:00,1,3.2,1006.9,297.75,1.1780860664470845,185.0,1299.6886585755071,37.0
2025-03-11T19:00,0,1.8,1007.1,296.75,1.1822908190645127,39.0,232.1422594737333,0.0
