Time,Is_Day,Average_Wind_Speed (m/s),Average_Barometric_Pressure (InHg),Temperature (K),Solar_Radiation (W/m²),Density (kg/m³),Wind_Power_Generated (W),Solar_Power_Generated (W)
2025-03-12T01:00,0,1.777777777777778,29.760314420743786,291.34999999999997,0.0,0.012050409037792115,2.2795366714050154,0.0
2025-03-12T02:00,0,1.6666666666666665,29.748502428514872,291.15,0.0,0.012053900696129938,1.8788245782598876,0.0
2025-03-12T03:00,0,1.3055555555555556,29.733737438228733,291.04999999999995,0.0,0.01205205748436731,0.9029415553809577,0.0
2025-03-12T04:00,0,1.027777777777778,29.713066451828137,290.95,0.0,0.012047818289158718,0.4403707382875949,0.0
2025-03-12T05:00,0,1.1944444444444444,29.70420745765645,290.65,0.0,0.012056657894783602,0.691730901510848,0.0
2025-03-12T06:00,0,1.3333333333333333,29.701254459599223,290.54999999999995,0.0,0.01205960848648504,0.9624136926868497,0.0
2025-03-12T07:00,1,2.4166666666666665,29.71011345377091,290.45,1.0,0.012067358787605797,5.7342266617307125,0.2
2025-03-12T08:00,1,3.194444444444444,29.727831442114276,290.45,100.0,0.012074555304127576,13.251637234539619,20.0
2025-03-12T09:00,1,3.8333333333333335,29.760314420743786,291.45,307.0,0.012046274397532105,22.845195725247283,61.400000000000006
2025-03-12T10:00,1,3.861111111111111,29.769173414915468,292.95,519.0,0.011988161076199377,23.232815459877177,103.80000000000001
2025-03-12T11:00,1,3.0,29.769173414915468,294.95,690.0,0.011906871630013924,10.823651747710787,138.0
2025-03-12T12:00,1,3.4722222222222223,29.757361422686557,296.95,802.0,0.01182198451520494,16.66192969420157,160.4
2025-03-12T13:00,1,4.472222222222222,29.73964343434319,297.95,850.0,0.01177529140314266,35.46126009531442,170.0
2025-03-12T14:00,1,3.944444444444444,29.724878444057047,298.75,840.0,0.011737928758872735,24.2527714920096,168.0
2025-03-12T15:00,1,3.3611111111111107,29.70716045571368,299.04999999999995,760.0,0.01171916398090446,14.981579891383825,152.0
2025-03-12T16:00,1,3.0277777777777777,29.69534846348477,299.04999999999995,602.0,0.011714504273556189,10.947331804586693,120.4
2025-03-12T17:00,1,2.5833333333333335,29.698301461542,298.75,379.0,0.011727433889130053,6.807015060379716,75.8
2025-03-12T18:00,1,2.1666666666666665,29.70420745765645,298.15,165.0,0.011753371179335413,4.024863277308393,33.0
2025-03-12T19:00,0,1.6666666666666665,29.716019449885366,297.34999999999997,32.0,0.011789679174714494,1.8376407406744375,0.0
2025-03-12T20:00,0,1.4166666666666665,29.727831442114276,296.34999999999997,0.0,0.011834164292504995,1.132799359968452,0.0
2025-03-12T21:00,0,1.3611111111111112,29.74259643240042,295.15,0.0,0.0118881803995832,1.009272637637979,0.0
2025-03-12T22:00,0,1.3055555555555556,29.7514554265721,294.25,0.0,0.011928093658619732,0.8936541710669783,0.0
2025-03-12T23:00,0,1.1111111111111112,29.75440842462933,293.65,0.0,0.011953652070217884,0.5520589527953971,0.0
2025-03-13T00:00,0,0.6944444444444444,29.75440842462933,293.34999999999997,0.0,0.01196587670161746,0.13491785314075308,0.0
2025-03-13T01:00,0,0.5,29.7514554265721,292.95,0.0,0.011981025973882425,0.050421573835650206,0.0
2025-03-13T02:00,0,0.5,29.745549430457643,292.54999999999995,0.0,0.011995025863297235,0.05048049169955924,0.0
2025-03-13T03:00,0,0.6111111111111112,29.73669043628596,292.15,0.0,0.01200787164879593,0.09226541765967126,0.0
2025-03-13T04:00,0,0.6111111111111112,29.730784440171504,291.65,0.0,0.012026068779202745,0.09240523976023149,0.0
2025-03-13T05:00,0,0.5,29.733737438228733,290.84999999999997,0.0,0.012060344957280748,0.050755383977344706,0.0
2025-03-13T06:00,0,0.7222222222222222,29.74259643240042,289.95,0.0,0.012101384531598485,0.1534828933337848,0.0
2025-03-13T07:00,1,1.0,29.7514554265721,289.75,0.0,0.012113344466087512,0.4078274389688691,0.0
2025-03-13T08:00,1,1.6388888888888888,29.76622041685824,290.75,39.0,0.012077672969568297,1.7899634922126528,7.800000000000001
2025-03-13T09:00,1,3.1111111111111107,29.78393840520161,292.34999999999997,221.0,0.012018722914745116,12.184767964620374,44.2
2025-03-13T10:00,1,4.111111111111112,29.789844401316063,294.04999999999995,482.0,0.011951608185230351,27.958660830680078,96.4
2025-03-13T11:00,1,4.416666666666667,29.778032409087153,295.75,681.0,0.011878197468755649,34.45456620014889,136.20000000000002
2025-03-13T12:00,1,4.555555555555555,29.75440842462933,297.54999999999995,791.0,0.011796975064424406,37.54975243115387,158.20000000000002
2025-03-13T13:00,1,4.361111111111111,29.727831442114276,299.04999999999995,835.0,0.011727318468763936,32.749339750002946,167.0
2025-03-13T14:00,1,3.6944444444444446,29.69534846348477,300.34999999999997,825.0,0.011663800576017905,19.801581652077186,165.0
2025-03-13T15:00,1,4.111111111111112,29.65991248679803,301.45,743.0,0.011607371194425195,27.153379639886943,148.6
2025-03-13T16:00,1,5.027777777777778,29.630382506225754,301.95,596.0,0.011576613124203423,49.53613485746095,119.2
2025-03-13T17:00,1,4.75,29.609711519825158,301.84999999999997,398.0,0.011572369498952618,41.75567374212242,79.60000000000001
2025-03-13T18:00,1,3.7222222222222223,29.597899527596244,301.25,193.0,0.011590792523738909,20.124838297424045,38.6
2025-03-13T19:00,0,3.0,29.59199353148179,300.54999999999995,42.0,0.011615469988471457,10.558760180490353,0.0
2025-03-13T20:00,0,3.138888888888889,29.597899527596244,299.75,0.0,0.011648794821605826,12.128893947113886,0.0
2025-03-13T21:00,0,3.6944444444444446,29.609711519825158,298.84999999999997,0.0,0.01168853850847866,19.84357912848573,0.0
2025-03-13T22:00,0,4.194444444444445,29.61857051399684,298.04999999999995,0.0,0.01172341837735522,29.126612525155675,0.0
2025-03-13T23:00,0,4.638888888888888,29.61561751593961,297.75,0.0,0.011734060372796297,39.43688501999444,0.0
2025-03-14T00:00,0,5.194444444444444,29.612664517882386,297.54999999999995,0.0,0.011740776691747513,55.4021373891217,0.0
2025-03-14T01:00,0,5.527777777777778,29.60675852176793,297.25,0.0,0.011750282125780392,66.82091155038674,0.0
2025-03-14T02:00,0,5.388888888888888,29.6038055237107,296.75,0.0,0.011768906454987687,62.0077785812846,0.0
2025-03-14T03:00,0,4.944444444444445,29.6038055237107,296.25,0.0,0.011788769588245053,47.97702991302102,0.0
2025-03-14T04:00,0,4.638888888888888,29.60675852176793,295.65,0.0,0.01181387235544807,39.70512430657191,0.0
2025-03-14T05:00,0,4.666666666666667,29.612664517882386,295.25,0.0,0.011832237441590085,40.48550807218197,0.0
2025-03-14T06:00,0,4.833333333333333,29.624476510111297,294.84999999999997,0.0,0.01185301539803959,45.058991359171046,0.0
2025-03-14T07:00,1,4.916666666666666,29.630382506225754,294.54999999999995,3.0,0.011867453175532928,47.48781620004992,0.6000000000000001
2025-03-14T08:00,1,4.694444444444444,29.721925445999823,294.25,61.0,0.011916254359702989,41.505414100967535,12.200000000000001
2025-03-14T09:00,1,5.138888888888888,29.745549430457643,295.65,241.0,0.011869253564375465,54.2304821256529,48.2
2025-03-14T10:00,1,5.555555555555555,29.760314420743786,297.25,478.0,0.011811225140994893,68.18515111810358,95.60000000000001
2025-03-14T11:00,1,6.083333333333333,29.760314420743786,299.04999999999995,669.0,0.011740132663971685,88.98365111210609,133.8
2025-03-14T12:00,1,6.833333333333334,29.7514554265721,301.04999999999995,788.0,0.011658666530638953,125.24461850206379,157.60000000000002
2025-03-14T13:00,1,7.444444444444445,29.73964343434319,302.45,844.0,0.011600092820520269,161.12788958646613,168.8
2025-03-14T14:00,1,7.833333333333333,29.727831442114276,303.15,839.0,0.011568710500029208,187.21349484921586,167.8
2025-03-14T15:00,1,8.0,29.713066451828137,303.45,762.0,0.011551533139662973,199.12324636084634,152.4
2025-03-14T16:00,1,7.694444444444444,29.70716045571368,303.25,618.0,0.011556854042834222,177.24900585510363,123.60000000000001
2025-03-14T17:00,1,6.583333333333333,29.71011345377091,302.75,419.0,0.011577091196895472,111.21141456933529,83.80000000000001
2025-03-14T18:00,1,5.0,29.721925445999823,301.84999999999997,207.0,0.011616226090252129,48.88633100187298,41.400000000000006
2025-03-14T19:00,0,3.5277777777777777,29.73669043628596,300.75,47.0,0.011664504412953384,17.24178904084911,0.0
2025-03-14T20:00,0,2.4444444444444446,29.757361422686557,299.45,0.0,0.011723287032192711,5.76503949945097,0.0
2025-03-14T21:00,0,1.611111111111111,29.78393840520161,297.95,0.0,0.0117928298175054,1.6603776713818352,0.0
2025-03-14T22:00,0,1.0833333333333333,29.804609391602206,296.54999999999995,0.0,0.01185672650048933,0.5075320768905466,0.0
2025-03-14T23:00,0,0.5833333333333334,29.816421383831116,295.25,0.0,0.01191365191939919,0.07961734000361904,0.0
2025-03-15T00:00,0,0.5,29.822327379945573,293.95,0.0,0.01196871056963382,0.05036974504686446,0.0
2025-03-15T01:00,0,0.8611111111111112,29.8252803780028,292.84999999999997,0.0,0.012014856900510455,0.25829057349242024,0.0
2025-03-15T02:00,0,1.2222222222222223,29.8252803780028,292.04999999999995,0.0,0.012047768681097372,0.7405758100953845,0.0
2025-03-15T03:00,0,1.3888888888888888,29.822327379945573,291.45,0.0,0.01207137578296058,1.088859025179272,0.0
2025-03-15T04:00,0,1.5,29.822327379945573,290.95,0.0,0.012092120542855685,1.3740059701879939,0.0
2025-03-15T05:00,0,1.4444444444444444,29.82823337606003,290.15,0.0,0.012127862190884412,1.2305496939791742,0.0
2025-03-15T06:00,0,1.3333333333333333,29.834139372174484,289.54999999999995,0.0,0.01215539961121175,0.9700582766862536,0.0
2025-03-15T07:00,1,1.3333333333333333,29.84299836634617,289.65,3.0,0.012154811225749136,0.9700113207484691,0.6000000000000001
2025-03-15T08:00,1,1.5555555555555554,29.85481035857508,291.04999999999995,61.0,0.012101132303799136,1.5335394854022586,12.200000000000001
2025-03-15T09:00,1,1.9444444444444444,29.866622350803993,293.15,252.0,0.01201919850760102,2.9749145820421283,50.400000000000006
2025-03-15T10:00,1,2.0833333333333335,29.869575348861222,295.45,503.0,0.011926811351747722,3.630889337070176,100.60000000000001
2025-03-15T11:00,1,2.7222222222222223,29.857763356632308,297.75,700.0,0.011830001438761928,8.034667277275803,140.0
2025-03-15T12:00,1,4.25,29.837092370231712,300.25,817.0,0.011723378280755994,30.29925453891333,163.4
2025-03-15T13:00,1,5.666666666666666,29.816421383831116,302.15,868.0,0.011641587718691414,71.3193850119652,173.60000000000002
2025-03-15T14:00,1,6.527777777777778,29.79575039743052,303.04999999999995,859.0,0.011598967594813513,108.62450098726902,171.8
2025-03-15T15:00,1,7.083333333333333,29.775079411029925,303.34999999999997,778.0,0.01157945782104453,138.55226786872194,155.60000000000002
2025-03-15T16:00,1,7.027777777777778,29.760314420743786,303.25,630.0,0.011577532310505298,135.29521516103537,126.0
2025-03-15T17:00,1,6.083333333333333,29.75440842462933,302.75,428.0,0.011594351545563937,87.87871162373585,85.60000000000001
2025-03-15T18:00,1,4.555555555555555,29.757361422686557,301.75,214.0,0.011633929749097289,37.030779457814674,42.800000000000004
2025-03-15T19:00,0,3.1111111111111107,29.76622041685824,300.34999999999997,49.0,0.011691637808896229,11.853164004056275,0.0
2025-03-15T20:00,0,2.4444444444444446,29.789844401316063,298.54999999999995,0.0,0.011771463362475245,5.788730674652491,0.0
2025-03-15T21:00,0,3.638888888888889,29.819374381888345,296.45,0.0,0.011866601789756235,19.250638040738576,0.0
2025-03-15T22:00,0,5.249999999999999,29.848904362460626,294.65,0.0,0.011950917408041705,58.222591218792644,0.0
2025-03-15T23:00,0,6.222222222222221,29.869575348861222,293.45,0.0,0.012008098190062582,97.39197162972015,0.0
